"","gene_id","gene_name","entrezid","gene_biotype","gene_seq_start","gene_seq_end","seq_name","seq_strand","seq_coord_system","symbol","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000077498","ENSG00000077498","TYR",NA,"protein_coding",88910620,89028927,"11",1,NA,"TYR",0,0,0,0,0,0,0,0
"ENSG00000077514","ENSG00000077514","POLD3",NA,"protein_coding",74204896,74380162,"11",1,NA,"POLD3",414,287,453,229,516,551,369,342
"ENSG00000077522","ENSG00000077522","ACTN2",NA,"protein_coding",236849754,236927931,"1",1,NA,"ACTN2",6,14,7,6,1,0,2,7
"ENSG00000077549","ENSG00000077549","CAPZB",NA,"protein_coding",19665267,19812066,"1",-1,NA,"CAPZB",4640,5080,6175,4045,5237,7613,3904,4789
"ENSG00000077585","ENSG00000077585","GPR137B",NA,"protein_coding",236305832,236385165,"1",1,NA,"GPR137B",560,555,577,576,685,1101,511,861
"ENSG00000077616","ENSG00000077616","NAALAD2",NA,"protein_coding",89864683,89926062,"11",1,NA,"NAALAD2",49,23,80,21,24,7,52,38
"ENSG00000077684","ENSG00000077684","JADE1",NA,"protein_coding",129730779,129796379,"4",1,NA,"JADE1",946,1941,1119,1531,1123,2615,893,2313
"ENSG00000077713","ENSG00000077713","SLC25A43",NA,"protein_coding",118533023,118588441,"X",1,NA,"SLC25A43",515,704,488,363,616,979,459,645
"ENSG00000077721","ENSG00000077721","UBE2A",NA,"protein_coding",118708501,118718381,"X",1,NA,"UBE2A",1367,1267,1610,1103,1876,2400,1230,1351
"ENSG00000077782","ENSG00000077782","FGFR1",NA,"protein_coding",38268656,38326352,"8",-1,NA,"FGFR1",14982,13448,17039,9498,16113,21698,14209,15388
"ENSG00000077800","ENSG00000077800","FKBP6",NA,"protein_coding",72742167,72772634,"7",1,NA,"FKBP6",28,22,22,10,29,44,17,23
"ENSG00000077809","ENSG00000077809","GTF2I",NA,"protein_coding",74071994,74175026,"7",1,NA,"GTF2I",10030,8588,12479,7780,14801,19803,8871,9389
"ENSG00000077935","ENSG00000077935","SMC1B",NA,"protein_coding",45739944,45809500,"22",-1,NA,"SMC1B",3,0,3,4,7,4,4,4
"ENSG00000077942","ENSG00000077942","FBLN1",NA,"protein_coding",45898118,45997015,"22",1,NA,"FBLN1",166952,141729,205873,122953,187161,212673,140466,147710
"ENSG00000077943","ENSG00000077943","ITGA8",NA,"protein_coding",15555948,15762124,"10",-1,NA,"ITGA8",271,558,391,394,167,684,419,807
"ENSG00000077984","ENSG00000077984","CST7",NA,"protein_coding",24929866,24940564,"20",1,NA,"CST7",0,0,1,0,0,0,0,0
"ENSG00000078018","ENSG00000078018","MAP2",NA,"protein_coding",210288782,210598842,"2",1,NA,"MAP2",437,481,3324,3863,658,1833,1139,1911
"ENSG00000078043","ENSG00000078043","PIAS2",NA,"protein_coding",44388353,44500123,"18",-1,NA,"PIAS2",494,454,696,367,649,752,580,452
"ENSG00000078053","ENSG00000078053","AMPH",NA,"protein_coding",38423305,38671167,"7",-1,NA,"AMPH",253,392,300,293,219,822,189,486
"ENSG00000078061","ENSG00000078061","ARAF",NA,"protein_coding",47420516,47431307,"X",1,NA,"ARAF",937,802,1025,559,1045,1381,736,838
"ENSG00000078070","ENSG00000078070","MCCC1",NA,"protein_coding",182733006,182833863,"3",-1,NA,"MCCC1",355,490,542,450,457,628,389,669
"ENSG00000078081","ENSG00000078081","LAMP3",NA,"protein_coding",182840001,182881627,"3",-1,NA,"LAMP3",36,23,13,1,2,5,4,2
"ENSG00000078098","ENSG00000078098","FAP",NA,"protein_coding",163027194,163101661,"2",-1,NA,"FAP",1953,1619,2908,1903,4016,4618,2190,2475
"ENSG00000078114","ENSG00000078114","NEBL",NA,"protein_coding",21068902,21463116,"10",-1,NA,"NEBL",2,34,3,2,0,1,1,13
"ENSG00000078124","ENSG00000078124","ACER3",NA,"protein_coding",76571911,76737841,"11",1,NA,"ACER3",183,303,263,306,317,601,183,328
"ENSG00000078140","ENSG00000078140","UBE2K",NA,"protein_coding",39699664,39784412,"4",1,NA,"UBE2K",1051,1085,957,780,958,1419,768,930
"ENSG00000078142","ENSG00000078142","PIK3C3",NA,"protein_coding",39535171,39667794,"18",1,NA,"PIK3C3",936,936,1145,727,1181,1884,889,1192
"ENSG00000078177","ENSG00000078177","N4BP2",NA,"protein_coding",40058446,40159872,"4",1,NA,"N4BP2",379,419,491,335,448,638,341,596
"ENSG00000078237","ENSG00000078237","C12orf5",NA,"protein_coding",4430371,4462338,"12",1,NA,"C12orf5",333,265,311,154,366,478,225,157
"ENSG00000078246","ENSG00000078246","TULP3",NA,"protein_coding",2986389,3050306,"12",1,NA,"TULP3",1351,1218,1651,1012,1820,1827,1314,1470
"ENSG00000078269","ENSG00000078269","SYNJ2",NA,"protein_coding",158402888,158520208,"6",1,NA,"SYNJ2",1361,596,1527,614,1604,1576,1207,691
"ENSG00000078295","ENSG00000078295","ADCY2",NA,"protein_coding",7396321,7830194,"5",1,NA,"ADCY2",10,7,7,4,106,83,4,3
"ENSG00000078304","ENSG00000078304","PPP2R5C",NA,"protein_coding",102228135,102394326,"14",1,NA,"PPP2R5C",2307,1909,2696,1598,2636,2893,2132,2390
"ENSG00000078319","ENSG00000078319","PMS2P1",NA,"pseudogene",99918615,99939531,"7",-1,NA,"PMS2P1",59,45,83,58,86,97,70,77
"ENSG00000078328","ENSG00000078328","RBFOX1",NA,"protein_coding",6069095,7763340,"16",1,NA,"RBFOX1",0,0,0,0,0,0,0,0
"ENSG00000078369","ENSG00000078369","GNB1",NA,"protein_coding",1716729,1822495,"1",-1,NA,"GNB1",6568,6218,8218,5131,7884,11203,5980,7053
"ENSG00000078399","ENSG00000078399","HOXA9",NA,"protein_coding",27202054,27210117,"7",-1,NA,"HOXA9",0,0,0,0,0,0,0,0
"ENSG00000078401","ENSG00000078401","EDN1",NA,"protein_coding",12290596,12297427,"6",1,NA,"EDN1",10,14,28,12,15,36,20,11
"ENSG00000078403","ENSG00000078403","MLLT10",NA,"protein_coding",21823094,22032559,"10",1,NA,"MLLT10",675,649,670,398,858,919,576,601
"ENSG00000078487","ENSG00000078487","ZCWPW1",NA,"protein_coding",99998449,100026615,"7",-1,NA,"ZCWPW1",180,184,228,140,177,162,161,195
"ENSG00000078549","ENSG00000078549","ADCYAP1R1",NA,"protein_coding",31092076,31151089,"7",1,NA,"ADCYAP1R1",0,0,0,0,0,0,1,0
"ENSG00000078579","ENSG00000078579","FGF20",NA,"protein_coding",16849678,16859690,"8",-1,NA,"FGF20",3,0,1,0,1,1,0,1
"ENSG00000078589","ENSG00000078589","P2RY10",NA,"protein_coding",78200829,78217451,"X",1,NA,"P2RY10",0,0,0,0,0,0,0,0
"ENSG00000078596","ENSG00000078596","ITM2A",NA,"protein_coding",78615881,78623164,"X",-1,NA,"ITM2A",2,3,0,1,1,2,19,24
"ENSG00000078618","ENSG00000078618","NRD1",NA,"protein_coding",52254863,52344477,"1",-1,NA,"NRD1",2875,2760,3685,2183,3681,4709,2534,2846
"ENSG00000078668","ENSG00000078668","VDAC3",NA,"protein_coding",42249142,42263415,"8",1,NA,"VDAC3",1093,1066,1426,822,1359,1601,1036,1060
"ENSG00000078674","ENSG00000078674","PCM1",NA,"protein_coding",17780349,17885478,"8",1,NA,"PCM1",2769,2171,3405,1765,3524,3474,2782,2676
"ENSG00000078687","ENSG00000078687","TNRC6C",NA,"protein_coding",76000249,76104916,"17",1,NA,"TNRC6C",372,289,481,219,424,485,350,430
"ENSG00000078699","ENSG00000078699","CBFA2T2",NA,"protein_coding",32077881,32237842,"20",1,NA,"CBFA2T2",589,353,676,235,736,561,557,425
"ENSG00000078725","ENSG00000078725","BRINP1",NA,"protein_coding",121915736,122131745,"9",-1,NA,"BRINP1",33,11,54,9,36,48,52,16
"ENSG00000078747","ENSG00000078747","ITCH",NA,"protein_coding",32951041,33099198,"20",1,NA,"ITCH",1425,1342,1550,1151,1580,2163,1364,1729
"ENSG00000078795","ENSG00000078795","PKD2L2",NA,"protein_coding",137223657,137278436,"5",1,NA,"PKD2L2",0,1,2,1,2,3,0,0
"ENSG00000078804","ENSG00000078804","TP53INP2",NA,"protein_coding",33292094,33301243,"20",1,NA,"TP53INP2",626,835,795,867,882,1067,568,949
"ENSG00000078808","ENSG00000078808","SDF4",NA,"protein_coding",1152288,1167411,"1",-1,NA,"SDF4",4435,4240,5405,2961,5930,7347,4455,4720
"ENSG00000078814","ENSG00000078814","MYH7B",NA,"protein_coding",33563206,33590240,"20",1,NA,"MYH7B",26,38,35,28,27,31,28,61
"ENSG00000078898","ENSG00000078898","BPIFB2",NA,"protein_coding",31595406,31611515,"20",1,NA,"BPIFB2",0,0,0,0,0,0,0,0
"ENSG00000078900","ENSG00000078900","TP73",NA,"protein_coding",3569084,3652765,"1",1,NA,"TP73",6,2,7,3,2,2,3,4
"ENSG00000078902","ENSG00000078902","TOLLIP",NA,"protein_coding",1295601,1330884,"11",-1,NA,"TOLLIP",1143,1022,1043,644,1177,1324,924,1030
"ENSG00000078967","ENSG00000078967","UBE2D4",NA,"protein_coding",43966037,43995735,"7",1,NA,"UBE2D4",156,83,184,138,158,167,173,147
"ENSG00000079101","ENSG00000079101","CLUL1",NA,"protein_coding",596988,650334,"18",1,NA,"CLUL1",12,0,18,0,16,1,7,5
"ENSG00000079102","ENSG00000079102","RUNX1T1",NA,"protein_coding",92967203,93115514,"8",-1,NA,"RUNX1T1",1223,843,1251,497,1092,1112,898,691
"ENSG00000079112","ENSG00000079112","CDH17",NA,"protein_coding",95139399,95229531,"8",-1,NA,"CDH17",4,2,8,5,4,6,1,2
"ENSG00000079134","ENSG00000079134","THOC1",NA,"protein_coding",214520,268050,"18",-1,NA,"THOC1",380,267,404,212,467,440,388,270
"ENSG00000079150","ENSG00000079150","FKBP7",NA,"protein_coding",179328391,179343327,"2",-1,NA,"FKBP7",913,679,826,355,760,662,665,557
"ENSG00000079156","ENSG00000079156","OSBPL6",NA,"protein_coding",179059208,179264160,"2",1,NA,"OSBPL6",26,18,42,10,38,20,28,25
"ENSG00000079215","ENSG00000079215","SLC1A3",NA,"protein_coding",36606457,36688436,"5",1,NA,"SLC1A3",105,120,62,12,109,112,40,29
"ENSG00000079246","ENSG00000079246","XRCC5",NA,"protein_coding",216972187,217071026,"2",1,NA,"XRCC5",4924,4600,5683,3524,6431,7896,4149,4417
"ENSG00000079257","ENSG00000079257","LXN",NA,"protein_coding",158363611,158390482,"3",-1,NA,"LXN",3791,1626,3147,956,1418,482,1501,1004
"ENSG00000079263","ENSG00000079263","SP140",NA,"protein_coding",231067826,231223762,"2",1,NA,"SP140",26,15,29,18,29,41,34,23
"ENSG00000079277","ENSG00000079277","MKNK1",NA,"protein_coding",47023090,47082515,"1",-1,NA,"MKNK1",435,357,550,346,523,735,464,484
"ENSG00000079308","ENSG00000079308","TNS1",NA,"protein_coding",218664512,218867718,"2",-1,NA,"TNS1",7483,4855,7543,3406,8152,8905,5975,5581
"ENSG00000079313","ENSG00000079313","REXO1",NA,"protein_coding",1815248,1848452,"19",-1,NA,"REXO1",283,294,352,242,322,521,252,336
"ENSG00000079332","ENSG00000079332","SAR1A",NA,"protein_coding",71907045,71930279,"10",-1,NA,"SAR1A",3297,3311,3466,2544,3912,6187,2632,3051
"ENSG00000079335","ENSG00000079335","CDC14A",NA,"protein_coding",100810584,100985833,"1",1,NA,"CDC14A",59,39,71,29,96,69,57,57
"ENSG00000079337","ENSG00000079337","RAPGEF3",NA,"protein_coding",48128455,48164823,"12",-1,NA,"RAPGEF3",113,80,89,41,94,47,128,87
"ENSG00000079385","ENSG00000079385","CEACAM1",NA,"protein_coding",43011456,43065386,"19",-1,NA,"CEACAM1",0,2,7,5,3,2,1,1
"ENSG00000079387","ENSG00000079387","SENP1",NA,"protein_coding",48436681,48500091,"12",-1,NA,"SENP1",351,329,421,305,504,531,378,329
"ENSG00000079393","ENSG00000079393","DUSP13",NA,"protein_coding",76854192,76868979,"10",-1,NA,"DUSP13",0,0,0,1,1,1,0,0
"ENSG00000079432","ENSG00000079432","CIC",NA,"protein_coding",42772689,42799949,"19",1,NA,"CIC",2467,1512,2612,983,2700,2603,2309,1740
"ENSG00000079435","ENSG00000079435","LIPE",NA,"protein_coding",42905659,42931578,"19",-1,NA,"LIPE",19,34,36,30,27,56,9,45
"ENSG00000079459","ENSG00000079459","FDFT1",NA,"protein_coding",11653082,11696818,"8",1,NA,"FDFT1",998,887,1185,690,1068,1150,788,979
"ENSG00000079462","ENSG00000079462","PAFAH1B3",NA,"protein_coding",42801185,42807698,"19",-1,NA,"PAFAH1B3",84,38,92,25,90,55,71,32
"ENSG00000079482","ENSG00000079482","OPHN1",NA,"protein_coding",67262186,67653755,"X",-1,NA,"OPHN1",242,212,249,147,247,262,196,209
"ENSG00000079557","ENSG00000079557","AFM",NA,"protein_coding",74347400,74369691,"4",1,NA,"AFM",0,0,0,0,0,0,0,0
"ENSG00000079616","ENSG00000079616","KIF22",NA,"protein_coding",29802040,29816706,"16",1,NA,"KIF22",184,179,265,114,221,190,174,168
"ENSG00000079689","ENSG00000079689","SCGN",NA,"protein_coding",25652464,25702011,"6",1,NA,"SCGN",0,0,0,0,0,0,0,0
"ENSG00000079691","ENSG00000079691","LRRC16A",NA,"protein_coding",25279306,25620758,"6",1,NA,"LRRC16A",923,1447,965,1323,1232,2632,862,2742
"ENSG00000079739","ENSG00000079739","PGM1",NA,"protein_coding",64058947,64125916,"1",1,NA,"PGM1",1124,1000,1694,1008,1358,2200,911,1136
"ENSG00000079785","ENSG00000079785","DDX1",NA,"protein_coding",15731302,15771235,"2",1,NA,"DDX1",1951,1775,2140,1313,2157,2509,1592,1618
"ENSG00000079805","ENSG00000079805","DNM2",NA,"protein_coding",10828755,10944164,"19",1,NA,"DNM2",2236,2072,2656,1517,2649,3505,1986,2281
"ENSG00000079819","ENSG00000079819","EPB41L2",NA,"protein_coding",131160487,131384462,"6",-1,NA,"EPB41L2",7012,5901,10164,3838,9627,9883,7644,6517
"ENSG00000079841","ENSG00000079841","RIMS1",NA,"protein_coding",72596406,73112845,"6",1,NA,"RIMS1",13,13,77,71,18,92,10,32
"ENSG00000079931","ENSG00000079931","MOXD1",NA,"protein_coding",132617194,132722684,"6",-1,NA,"MOXD1",7133,3788,6575,3664,6017,6790,7073,5442
"ENSG00000079950","ENSG00000079950","STX7",NA,"protein_coding",132767006,132834337,"6",-1,NA,"STX7",1262,1243,1274,1130,1194,1961,1232,1869
"ENSG00000079974","ENSG00000079974","RABL2B",NA,"protein_coding",51205929,51222091,"22",-1,NA,"RABL2B",559,467,733,353,705,933,533,477
"ENSG00000079999","ENSG00000079999","KEAP1",NA,"protein_coding",10596796,10614417,"19",-1,NA,"KEAP1",1741,1567,1622,1085,1767,1908,1392,1646
"ENSG00000080007","ENSG00000080007","DDX43",NA,"protein_coding",74104471,74127292,"6",1,NA,"DDX43",45,25,16,7,17,7,14,7
"ENSG00000080031","ENSG00000080031","PTPRH",NA,"protein_coding",55692616,55720874,"19",-1,NA,"PTPRH",29,10,88,17,15,5,40,40
"ENSG00000080166","ENSG00000080166","DCT",NA,"protein_coding",95089558,95131936,"13",-1,NA,"DCT",5,4,5,3,9,5,10,2
"ENSG00000080189","ENSG00000080189","SLC35C2",NA,"protein_coding",44978167,44993043,"20",-1,NA,"SLC35C2",686,608,789,460,779,1014,687,839
"ENSG00000080200","ENSG00000080200","CRYBG3",NA,"protein_coding",97595819,97663810,"3",1,NA,"CRYBG3",646,405,735,237,729,549,479,329
"ENSG00000080224","ENSG00000080224","EPHA6",NA,"protein_coding",96533425,97471304,"3",1,NA,"EPHA6",0,1,0,0,0,1,0,1
"ENSG00000080293","ENSG00000080293","SCTR",NA,"protein_coding",120197419,120282070,"2",-1,NA,"SCTR",0,1,1,0,0,0,1,0
"ENSG00000080298","ENSG00000080298","RFX3",NA,"protein_coding",3218297,3526004,"9",-1,NA,"RFX3",128,93,155,81,148,199,116,117
"ENSG00000080345","ENSG00000080345","RIF1",NA,"protein_coding",152266397,152364527,"2",1,NA,"RIF1",1103,1034,1322,841,1599,2085,1295,1377
"ENSG00000080371","ENSG00000080371","RAB21",NA,"protein_coding",72148654,72184699,"12",1,NA,"RAB21",1024,959,1149,881,1175,1548,965,1065
"ENSG00000080493","ENSG00000080493","SLC4A4",NA,"protein_coding",72053003,72437804,"4",1,NA,"SLC4A4",361,152,486,123,488,424,278,187
"ENSG00000080503","ENSG00000080503","SMARCA2",NA,"protein_coding",2015342,2193624,"9",1,NA,"SMARCA2",3293,2859,4282,2712,2946,4183,3224,4197
"ENSG00000080511","ENSG00000080511","RDH8",NA,"protein_coding",10123925,10132955,"19",1,NA,"RDH8",0,0,0,0,0,0,0,0
"ENSG00000080546","ENSG00000080546","SESN1",NA,"protein_coding",109307640,109416022,"6",-1,NA,"SESN1",685,531,743,356,759,713,623,547
"ENSG00000080561","ENSG00000080561","MID2",NA,"protein_coding",107068985,107170423,"X",1,NA,"MID2",136,139,180,81,212,234,141,152
"ENSG00000080572","ENSG00000080572","PIH1D3",NA,"protein_coding",106449862,106487473,"X",1,NA,"PIH1D3",0,0,0,0,0,0,0,0
"ENSG00000080573","ENSG00000080573","COL5A3",NA,"protein_coding",10070237,10121147,"19",-1,NA,"COL5A3",222,495,274,199,153,391,268,482
"ENSG00000080603","ENSG00000080603","SRCAP",NA,"protein_coding",30709530,30755602,"16",1,NA,"SRCAP",2829,2543,3248,1574,3431,4134,2634,2445
"ENSG00000080608","ENSG00000080608","KIAA0020",NA,"protein_coding",2720469,2844241,"9",-1,NA,"KIAA0020",354,419,534,311,578,807,374,399
"ENSG00000080618","ENSG00000080618","CPB2",NA,"protein_coding",46627321,46679211,"13",-1,NA,"CPB2",1,0,1,0,0,0,0,0
"ENSG00000080644","ENSG00000080644","CHRNA3",NA,"protein_coding",78885394,78913637,"15",-1,NA,"CHRNA3",0,0,1,0,0,0,2,0
"ENSG00000080709","ENSG00000080709","KCNN2",NA,"protein_coding",113696642,113832337,"5",1,NA,"KCNN2",0,0,0,0,0,0,0,0
"ENSG00000080802","ENSG00000080802","CNOT4",NA,"protein_coding",135046547,135194875,"7",-1,NA,"CNOT4",578,466,757,376,706,758,463,495
"ENSG00000080815","ENSG00000080815","PSEN1",NA,"protein_coding",73603126,73690399,"14",1,NA,"PSEN1",1335,1576,1802,1607,1806,2647,1366,2213
"ENSG00000080819","ENSG00000080819","CPOX",NA,"protein_coding",98239976,98312567,"3",-1,NA,"CPOX",542,535,516,287,561,728,503,484
"ENSG00000080822","ENSG00000080822","CLDND1",NA,"protein_coding",98216756,98241910,"3",-1,NA,"CLDND1",743,915,681,614,820,1203,536,806
"ENSG00000080823","ENSG00000080823","MOK",NA,"protein_coding",102690837,102771537,"14",-1,NA,"MOK",131,76,179,40,167,151,124,108
"ENSG00000080824","ENSG00000080824","HSP90AA1",NA,"protein_coding",102547075,102606036,"14",-1,NA,"HSP90AA1",15757,10887,21118,8492,24822,21585,13918,11530
"ENSG00000080839","ENSG00000080839","RBL1",NA,"protein_coding",35624752,35724398,"20",-1,NA,"RBL1",154,146,165,101,108,94,146,178
"ENSG00000080845","ENSG00000080845","DLGAP4",NA,"protein_coding",34894258,35157040,"20",1,NA,"DLGAP4",1876,1504,2283,1023,2153,2096,1659,1520
"ENSG00000080854","ENSG00000080854","IGSF9B",NA,"protein_coding",133778459,133826880,"11",-1,NA,"IGSF9B",1,1,0,0,0,0,0,1
"ENSG00000080910","ENSG00000080910","CFHR2",NA,"protein_coding",196788898,196928356,"1",1,NA,"CFHR2",0,0,0,0,0,0,0,0
"ENSG00000080947","ENSG00000080947","CROCCP3",NA,"pseudogene",16793931,16825752,"1",-1,NA,"CROCCP3",117,73,157,61,156,140,116,80
"ENSG00000080986","ENSG00000080986","NDC80",NA,"protein_coding",2571510,2616634,"18",1,NA,"NDC80",43,52,39,29,28,46,44,34
"ENSG00000081014","ENSG00000081014","AP4E1",NA,"protein_coding",51200869,51298097,"15",1,NA,"AP4E1",495,387,673,335,571,722,410,496
"ENSG00000081019","ENSG00000081019","RSBN1",NA,"protein_coding",114304454,114355098,"1",-1,NA,"RSBN1",369,315,353,251,400,541,312,385
"ENSG00000081026","ENSG00000081026","MAGI3",NA,"protein_coding",113933371,114228545,"1",1,NA,"MAGI3",339,239,376,164,414,369,325,277
"ENSG00000081041","ENSG00000081041","CXCL2",NA,"protein_coding",74962752,74965010,"4",-1,NA,"CXCL2",1,1,2,0,7,4,1,0
"ENSG00000081051","ENSG00000081051","AFP",NA,"protein_coding",74296855,74321891,"4",1,NA,"AFP",1,2,4,1,11,8,5,2
"ENSG00000081052","ENSG00000081052","COL4A4",NA,"protein_coding",227867427,228028829,"2",-1,NA,"COL4A4",59,192,156,324,67,219,82,441
"ENSG00000081059","ENSG00000081059","TCF7",NA,"protein_coding",133450402,133487556,"5",1,NA,"TCF7",56,37,57,29,57,40,103,65
"ENSG00000081087","ENSG00000081087","OSTM1",NA,"protein_coding",108362613,108487058,"6",-1,NA,"OSTM1",1097,1104,1063,1084,1089,1752,886,1215
"ENSG00000081138","ENSG00000081138","CDH7",NA,"protein_coding",63417488,63548638,"18",1,NA,"CDH7",0,0,0,0,0,0,0,0
"ENSG00000081148","ENSG00000081148","IMPG2",NA,"protein_coding",100941390,101039404,"3",-1,NA,"IMPG2",9,7,11,5,10,6,15,9
"ENSG00000081154","ENSG00000081154","PCNP",NA,"protein_coding",101292939,101313281,"3",1,NA,"PCNP",2959,2325,3178,1930,2937,3610,2586,2537
"ENSG00000081177","ENSG00000081177","EXD2",NA,"protein_coding",69658228,69709075,"14",1,NA,"EXD2",426,400,519,312,358,521,386,497
"ENSG00000081181","ENSG00000081181","ARG2",NA,"protein_coding",68086515,68118437,"14",1,NA,"ARG2",8,18,8,6,8,21,6,5
"ENSG00000081189","ENSG00000081189","MEF2C",NA,"protein_coding",88013975,88199922,"5",-1,NA,"MEF2C",142,103,156,45,147,98,140,112
"ENSG00000081237","ENSG00000081237","PTPRC",NA,"protein_coding",198607801,198726545,"1",1,NA,"PTPRC",0,0,1,0,2,0,0,0
"ENSG00000081248","ENSG00000081248","CACNA1S",NA,"protein_coding",201008642,201081694,"1",-1,NA,"CACNA1S",0,0,0,0,0,1,0,0
"ENSG00000081277","ENSG00000081277","PKP1",NA,"protein_coding",201252580,201302121,"1",1,NA,"PKP1",1,0,0,0,0,1,0,0
"ENSG00000081307","ENSG00000081307","UBA5",NA,"protein_coding",132373290,132396941,"3",1,NA,"UBA5",846,634,927,453,1002,1109,772,502
"ENSG00000081320","ENSG00000081320","STK17B",NA,"protein_coding",196998290,197041227,"2",-1,NA,"STK17B",771,1054,861,1534,1129,2394,1228,2816
"ENSG00000081377","ENSG00000081377","CDC14B",NA,"protein_coding",99252523,99382112,"9",-1,NA,"CDC14B",1529,2314,1948,2302,1820,3408,1759,3226
"ENSG00000081386","ENSG00000081386","ZNF510",NA,"protein_coding",99518147,99540411,"9",-1,NA,"ZNF510",306,200,411,181,381,348,304,270
"ENSG00000081479","ENSG00000081479","LRP2",NA,"protein_coding",169983619,170219195,"2",-1,NA,"LRP2",0,0,0,0,0,0,0,0
"ENSG00000081665","ENSG00000081665","ZNF506",NA,"protein_coding",19896648,19932560,"19",-1,NA,"ZNF506",121,80,177,75,176,188,96,78
"ENSG00000081692","ENSG00000081692","JMJD4",NA,"protein_coding",227918126,227923112,"1",-1,NA,"JMJD4",66,43,74,29,72,79,75,63
"ENSG00000081721","ENSG00000081721","DUSP12",NA,"protein_coding",161719548,161727028,"1",1,NA,"DUSP12",261,170,291,112,275,323,221,176
"ENSG00000081760","ENSG00000081760","AACS",NA,"protein_coding",125549925,125627873,"12",1,NA,"AACS",399,271,427,237,399,451,384,329
"ENSG00000081791","ENSG00000081791","KIAA0141",NA,"protein_coding",141303373,141321612,"5",1,NA,"KIAA0141",1140,851,1213,626,1213,1512,973,937
"ENSG00000081800","ENSG00000081800","SLC13A1",NA,"protein_coding",122753585,122840040,"7",-1,NA,"SLC13A1",0,0,1,0,0,0,0,0
"ENSG00000081803","ENSG00000081803","CADPS2",NA,"protein_coding",121958481,122526813,"7",-1,NA,"CADPS2",710,1645,980,1699,225,434,706,2084
"ENSG00000081818","ENSG00000081818","PCDHB4",NA,"protein_coding",140501581,140505201,"5",1,NA,"PCDHB4",27,34,21,20,20,8,12,16
"ENSG00000081842","ENSG00000081842","PCDHA6",NA,"protein_coding",140207563,140391929,"5",1,NA,"PCDHA6",4,10,3,2,6,1,5,5
"ENSG00000081853","ENSG00000081853","PCDHGA2",NA,"protein_coding",140718539,140892546,"5",1,NA,"PCDHGA2",122,110,196,114,440,464,118,104
"ENSG00000081870","ENSG00000081870","HSPB11",NA,"protein_coding",54382247,54411602,"1",-1,NA,"HSPB11",201,250,253,173,255,347,203,257
"ENSG00000081913","ENSG00000081913","PHLPP1",NA,"protein_coding",60382672,60647666,"18",1,NA,"PHLPP1",185,154,317,154,240,229,250,263
"ENSG00000081923","ENSG00000081923","ATP8B1",NA,"protein_coding",55313658,55470333,"18",-1,NA,"ATP8B1",1181,1015,1607,1038,1171,2566,1420,1275
"ENSG00000081985","ENSG00000081985","IL12RB2",NA,"protein_coding",67773047,67862583,"1",1,NA,"IL12RB2",2,3,2,4,0,4,2,5
"ENSG00000082014","ENSG00000082014","SMARCD3",NA,"protein_coding",150935850,150974982,"7",-1,NA,"SMARCD3",632,591,772,458,797,1043,567,565
"ENSG00000082068","ENSG00000082068","WDR70",NA,"protein_coding",37379314,37753537,"5",1,NA,"WDR70",585,538,680,411,752,765,535,637
"ENSG00000082074","ENSG00000082074","FYB",NA,"protein_coding",39105338,39274630,"5",-1,NA,"FYB",0,2,10,1,7,2,7,4
"ENSG00000082126","ENSG00000082126","MPP4",NA,"protein_coding",202509593,202563417,"2",-1,NA,"MPP4",9,17,19,26,21,41,9,36
"ENSG00000082146","ENSG00000082146","STRADB",NA,"protein_coding",202252581,202345569,"2",1,NA,"STRADB",681,1035,855,1114,1298,2319,681,1400
"ENSG00000082153","ENSG00000082153","BZW1",NA,"protein_coding",201675317,201688569,"2",1,NA,"BZW1",4939,5669,6261,4332,6234,9464,4961,5837
"ENSG00000082175","ENSG00000082175","PGR",NA,"protein_coding",100900355,101001255,"11",-1,NA,"PGR",5,6,11,3,1,2,11,6
"ENSG00000082196","ENSG00000082196","C1QTNF3",NA,"protein_coding",34019553,34043937,"5",-1,NA,"C1QTNF3",8,10,13,8,13,9,6,14
"ENSG00000082212","ENSG00000082212","ME2",NA,"protein_coding",48405419,48474691,"18",1,NA,"ME2",467,381,541,332,538,588,487,423
"ENSG00000082213","ENSG00000082213","C5orf22",NA,"protein_coding",31532373,31555165,"5",1,NA,"C5orf22",325,344,497,367,507,703,282,411
"ENSG00000082258","ENSG00000082258","CCNT2",NA,"protein_coding",135675805,135716912,"2",1,NA,"CCNT2",656,581,771,493,757,950,632,709
"ENSG00000082269","ENSG00000082269","FAM135A",NA,"protein_coding",71122644,71270877,"6",1,NA,"FAM135A",229,125,216,145,276,270,210,212
"ENSG00000082293","ENSG00000082293","COL19A1",NA,"protein_coding",70576463,70919679,"6",1,NA,"COL19A1",0,1,0,0,4,4,0,1
"ENSG00000082397","ENSG00000082397","EPB41L3",NA,"protein_coding",5392383,5630699,"18",-1,NA,"EPB41L3",1002,778,278,111,204,177,912,659
"ENSG00000082438","ENSG00000082438","COBLL1",NA,"protein_coding",165510134,165700189,"2",-1,NA,"COBLL1",726,432,1123,599,886,981,1036,936
"ENSG00000082458","ENSG00000082458","DLG3",NA,"protein_coding",69664711,69725337,"X",1,NA,"DLG3",531,243,511,179,519,414,447,336
